code,Field title
25079,Mean FA in anterior corona radiata on FA skeleton (left)
25078,Mean FA in anterior corona radiata on FA skeleton (right)
25073,Mean FA in anterior limb of internal capsule on FA skeleton (left)
25072,Mean FA in anterior limb of internal capsule on FA skeleton (right)
25059,Mean FA in body of corpus callosum on FA skeleton
25071,Mean FA in cerebral peduncle on FA skeleton (left)
25070,Mean FA in cerebral peduncle on FA skeleton (right)
25091,Mean FA in cingulum cingulate gyrus on FA skeleton (left)
25090,Mean FA in cingulum cingulate gyrus on FA skeleton (right)
25093,Mean FA in cingulum hippocampus on FA skeleton (left)
25092,Mean FA in cingulum hippocampus on FA skeleton (right)
25063,Mean FA in corticospinal tract on FA skeleton (left)
25062,Mean FA in corticospinal tract on FA skeleton (right)
25089,Mean FA in external capsule on FA skeleton (left)
25088,Mean FA in external capsule on FA skeleton (right)
25095,Mean FA in fornix cres+stria terminalis on FA skeleton (left)
25094,Mean FA in fornix cres+stria terminalis on FA skeleton (right)
25061,Mean FA in fornix on FA skeleton
25058,Mean FA in genu of corpus callosum on FA skeleton
25067,Mean FA in inferior cerebellar peduncle on FA skeleton (left)
25066,Mean FA in inferior cerebellar peduncle on FA skeleton (right)
25065,Mean FA in medial lemniscus on FA skeleton (left)
25064,Mean FA in medial lemniscus on FA skeleton (right)
25056,Mean FA in middle cerebellar peduncle on FA skeleton
25057,Mean FA in pontine crossing tract on FA skeleton
25083,Mean FA in posterior corona radiata on FA skeleton (left)
25082,Mean FA in posterior corona radiata on FA skeleton (right)
25075,Mean FA in posterior limb of internal capsule on FA skeleton (left)
25074,Mean FA in posterior limb of internal capsule on FA skeleton (right)
25085,Mean FA in posterior thalamic radiation on FA skeleton (left)
25084,Mean FA in posterior thalamic radiation on FA skeleton (right)
25077,Mean FA in retrolenticular part of internal capsule on FA skeleton (left)
25076,Mean FA in retrolenticular part of internal capsule on FA skeleton (right)
25087,Mean FA in sagittal stratum on FA skeleton (left)
25086,Mean FA in sagittal stratum on FA skeleton (right)
25060,Mean FA in splenium of corpus callosum on FA skeleton
25069,Mean FA in superior cerebellar peduncle on FA skeleton (left)
25068,Mean FA in superior cerebellar peduncle on FA skeleton (right)
25081,Mean FA in superior corona radiata on FA skeleton (left)
25080,Mean FA in superior corona radiata on FA skeleton (right)
25099,Mean FA in superior fronto-occipital fasciculus on FA skeleton (left)
25098,Mean FA in superior fronto-occipital fasciculus on FA skeleton (right)
25097,Mean FA in superior longitudinal fasciculus on FA skeleton (left)
25096,Mean FA in superior longitudinal fasciculus on FA skeleton (right)
25103,Mean FA in tapetum on FA skeleton (left)
25102,Mean FA in tapetum on FA skeleton (right)
25101,Mean FA in uncinate fasciculus on FA skeleton (left)
25100,Mean FA in uncinate fasciculus on FA skeleton (right)
25367,Mean ICVF in anterior corona radiata on FA skeleton (left)
25366,Mean ICVF in anterior corona radiata on FA skeleton (right)
25361,Mean ICVF in anterior limb of internal capsule on FA skeleton (left)
25360,Mean ICVF in anterior limb of internal capsule on FA skeleton (right)
25347,Mean ICVF in body of corpus callosum on FA skeleton
25359,Mean ICVF in cerebral peduncle on FA skeleton (left)
25358,Mean ICVF in cerebral peduncle on FA skeleton (right)
25379,Mean ICVF in cingulum cingulate gyrus on FA skeleton (left)
25378,Mean ICVF in cingulum cingulate gyrus on FA skeleton (right)
25381,Mean ICVF in cingulum hippocampus on FA skeleton (left)
25380,Mean ICVF in cingulum hippocampus on FA skeleton (right)
25351,Mean ICVF in corticospinal tract on FA skeleton (left)
25350,Mean ICVF in corticospinal tract on FA skeleton (right)
25377,Mean ICVF in external capsule on FA skeleton (left)
25376,Mean ICVF in external capsule on FA skeleton (right)
25383,Mean ICVF in fornix cres+stria terminalis on FA skeleton (left)
25382,Mean ICVF in fornix cres+stria terminalis on FA skeleton (right)
25349,Mean ICVF in fornix on FA skeleton
25346,Mean ICVF in genu of corpus callosum on FA skeleton
25355,Mean ICVF in inferior cerebellar peduncle on FA skeleton (left)
25354,Mean ICVF in inferior cerebellar peduncle on FA skeleton (right)
25353,Mean ICVF in medial lemniscus on FA skeleton (left)
25352,Mean ICVF in medial lemniscus on FA skeleton (right)
25344,Mean ICVF in middle cerebellar peduncle on FA skeleton
25345,Mean ICVF in pontine crossing tract on FA skeleton
25371,Mean ICVF in posterior corona radiata on FA skeleton (left)
25370,Mean ICVF in posterior corona radiata on FA skeleton (right)
25363,Mean ICVF in posterior limb of internal capsule on FA skeleton (left)
25362,Mean ICVF in posterior limb of internal capsule on FA skeleton (right)
25373,Mean ICVF in posterior thalamic radiation on FA skeleton (left)
25372,Mean ICVF in posterior thalamic radiation on FA skeleton (right)
25365,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left)
25364,Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right)
25375,Mean ICVF in sagittal stratum on FA skeleton (left)
25374,Mean ICVF in sagittal stratum on FA skeleton (right)
25348,Mean ICVF in splenium of corpus callosum on FA skeleton
25357,Mean ICVF in superior cerebellar peduncle on FA skeleton (left)
25356,Mean ICVF in superior cerebellar peduncle on FA skeleton (right)
25369,Mean ICVF in superior corona radiata on FA skeleton (left)
25368,Mean ICVF in superior corona radiata on FA skeleton (right)
25387,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left)
25386,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right)
25385,Mean ICVF in superior longitudinal fasciculus on FA skeleton (left)
25384,Mean ICVF in superior longitudinal fasciculus on FA skeleton (right)
25391,Mean ICVF in tapetum on FA skeleton (left)
25390,Mean ICVF in tapetum on FA skeleton (right)
25389,Mean ICVF in uncinate fasciculus on FA skeleton (left)
25388,Mean ICVF in uncinate fasciculus on FA skeleton (right)
25463,Mean ISOVF in anterior corona radiata on FA skeleton (left)
25462,Mean ISOVF in anterior corona radiata on FA skeleton (right)
25457,Mean ISOVF in anterior limb of internal capsule on FA skeleton (left)
25456,Mean ISOVF in anterior limb of internal capsule on FA skeleton (right)
25443,Mean ISOVF in body of corpus callosum on FA skeleton
25455,Mean ISOVF in cerebral peduncle on FA skeleton (left)
25454,Mean ISOVF in cerebral peduncle on FA skeleton (right)
25475,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left)
25474,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right)
25477,Mean ISOVF in cingulum hippocampus on FA skeleton (left)
25476,Mean ISOVF in cingulum hippocampus on FA skeleton (right)
25447,Mean ISOVF in corticospinal tract on FA skeleton (left)
25446,Mean ISOVF in corticospinal tract on FA skeleton (right)
25473,Mean ISOVF in external capsule on FA skeleton (left)
25472,Mean ISOVF in external capsule on FA skeleton (right)
25479,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left)
25478,Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right)
25445,Mean ISOVF in fornix on FA skeleton
25442,Mean ISOVF in genu of corpus callosum on FA skeleton
25451,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left)
25450,Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right)
25449,Mean ISOVF in medial lemniscus on FA skeleton (left)
25448,Mean ISOVF in medial lemniscus on FA skeleton (right)
25440,Mean ISOVF in middle cerebellar peduncle on FA skeleton
25441,Mean ISOVF in pontine crossing tract on FA skeleton
25467,Mean ISOVF in posterior corona radiata on FA skeleton (left)
25466,Mean ISOVF in posterior corona radiata on FA skeleton (right)
25459,Mean ISOVF in posterior limb of internal capsule on FA skeleton (left)
25458,Mean ISOVF in posterior limb of internal capsule on FA skeleton (right)
25469,Mean ISOVF in posterior thalamic radiation on FA skeleton (left)
25468,Mean ISOVF in posterior thalamic radiation on FA skeleton (right)
25461,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left)
25460,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right)
25471,Mean ISOVF in sagittal stratum on FA skeleton (left)
25470,Mean ISOVF in sagittal stratum on FA skeleton (right)
25444,Mean ISOVF in splenium of corpus callosum on FA skeleton
25453,Mean ISOVF in superior cerebellar peduncle on FA skeleton (left)
25452,Mean ISOVF in superior cerebellar peduncle on FA skeleton (right)
25465,Mean ISOVF in superior corona radiata on FA skeleton (left)
25464,Mean ISOVF in superior corona radiata on FA skeleton (right)
