code,Field title
25488,Weighted-mean FA in tract acoustic radiation (left)
25489,Weighted-mean FA in tract acoustic radiation (right)
25490,Weighted-mean FA in tract anterior thalamic radiation (left)
25491,Weighted-mean FA in tract anterior thalamic radiation (right)
25492,Weighted-mean FA in tract cingulate gyrus part of cingulum (left)
25493,Weighted-mean FA in tract cingulate gyrus part of cingulum (right)
25496,Weighted-mean FA in tract corticospinal tract (left)
25497,Weighted-mean FA in tract corticospinal tract (right)
25498,Weighted-mean FA in tract forceps major
25499,Weighted-mean FA in tract forceps minor
25500,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left)
25501,Weighted-mean FA in tract inferior fronto-occipital fasciculus (right)
25502,Weighted-mean FA in tract inferior longitudinal fasciculus (left)
25503,Weighted-mean FA in tract inferior longitudinal fasciculus (right)
25505,Weighted-mean FA in tract medial lemniscus (left)
25506,Weighted-mean FA in tract medial lemniscus (right)
25504,Weighted-mean FA in tract middle cerebellar peduncle
25494,Weighted-mean FA in tract parahippocampal part of cingulum (left)
25495,Weighted-mean FA in tract parahippocampal part of cingulum (right)
25507,Weighted-mean FA in tract posterior thalamic radiation (left)
25508,Weighted-mean FA in tract posterior thalamic radiation (right)
25509,Weighted-mean FA in tract superior longitudinal fasciculus (left)
25510,Weighted-mean FA in tract superior longitudinal fasciculus (right)
25511,Weighted-mean FA in tract superior thalamic radiation (left)
25512,Weighted-mean FA in tract superior thalamic radiation (right)
25513,Weighted-mean FA in tract uncinate fasciculus (left)
25514,Weighted-mean FA in tract uncinate fasciculus (right)
25650,Weighted-mean ICVF in tract acoustic radiation (left)
25651,Weighted-mean ICVF in tract acoustic radiation (right)
25652,Weighted-mean ICVF in tract anterior thalamic radiation (left)
25653,Weighted-mean ICVF in tract anterior thalamic radiation (right)
25654,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left)
25655,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right)
25658,Weighted-mean ICVF in tract corticospinal tract (left)
25659,Weighted-mean ICVF in tract corticospinal tract (right)
25660,Weighted-mean ICVF in tract forceps major
25661,Weighted-mean ICVF in tract forceps minor
25662,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left)
25663,Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right)
25664,Weighted-mean ICVF in tract inferior longitudinal fasciculus (left)
25665,Weighted-mean ICVF in tract inferior longitudinal fasciculus (right)
25667,Weighted-mean ICVF in tract medial lemniscus (left)
25668,Weighted-mean ICVF in tract medial lemniscus (right)
25666,Weighted-mean ICVF in tract middle cerebellar peduncle
25656,Weighted-mean ICVF in tract parahippocampal part of cingulum (left)
25657,Weighted-mean ICVF in tract parahippocampal part of cingulum (right)
25669,Weighted-mean ICVF in tract posterior thalamic radiation (left)
25670,Weighted-mean ICVF in tract posterior thalamic radiation (right)
25671,Weighted-mean ICVF in tract superior longitudinal fasciculus (left)
25672,Weighted-mean ICVF in tract superior longitudinal fasciculus (right)
25673,Weighted-mean ICVF in tract superior thalamic radiation (left)
25674,Weighted-mean ICVF in tract superior thalamic radiation (right)
25675,Weighted-mean ICVF in tract uncinate fasciculus (left)
25676,Weighted-mean ICVF in tract uncinate fasciculus (right)
25704,Weighted-mean ISOVF in tract acoustic radiation (left)
25705,Weighted-mean ISOVF in tract acoustic radiation (right)
25706,Weighted-mean ISOVF in tract anterior thalamic radiation (left)
25707,Weighted-mean ISOVF in tract anterior thalamic radiation (right)
25708,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left)
25709,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right)
25712,Weighted-mean ISOVF in tract corticospinal tract (left)
25713,Weighted-mean ISOVF in tract corticospinal tract (right)
25714,Weighted-mean ISOVF in tract forceps major
25715,Weighted-mean ISOVF in tract forceps minor
25716,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left)
25717,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right)
25718,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left)
25719,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right)
25721,Weighted-mean ISOVF in tract medial lemniscus (left)
25722,Weighted-mean ISOVF in tract medial lemniscus (right)
25720,Weighted-mean ISOVF in tract middle cerebellar peduncle
25710,Weighted-mean ISOVF in tract parahippocampal part of cingulum (left)
25711,Weighted-mean ISOVF in tract parahippocampal part of cingulum (right)
25723,Weighted-mean ISOVF in tract posterior thalamic radiation (left)
25724,Weighted-mean ISOVF in tract posterior thalamic radiation (right)
25725,Weighted-mean ISOVF in tract superior longitudinal fasciculus (left)
25726,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right)
25727,Weighted-mean ISOVF in tract superior thalamic radiation (left)
25728,Weighted-mean ISOVF in tract superior thalamic radiation (right)
25729,Weighted-mean ISOVF in tract uncinate fasciculus (left)
25730,Weighted-mean ISOVF in tract uncinate fasciculus (right)
25569,Weighted-mean L1 in tract acoustic radiation (left)
25570,Weighted-mean L1 in tract acoustic radiation (right)
25571,Weighted-mean L1 in tract anterior thalamic radiation (left)
25572,Weighted-mean L1 in tract anterior thalamic radiation (right)
25573,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left)
25574,Weighted-mean L1 in tract cingulate gyrus part of cingulum (right)
25577,Weighted-mean L1 in tract corticospinal tract (left)
25578,Weighted-mean L1 in tract corticospinal tract (right)
25579,Weighted-mean L1 in tract forceps major
25580,Weighted-mean L1 in tract forceps minor
25581,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left)
25582,Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right)
25583,Weighted-mean L1 in tract inferior longitudinal fasciculus (left)
25584,Weighted-mean L1 in tract inferior longitudinal fasciculus (right)
25586,Weighted-mean L1 in tract medial lemniscus (left)
25587,Weighted-mean L1 in tract medial lemniscus (right)
25585,Weighted-mean L1 in tract middle cerebellar peduncle
25575,Weighted-mean L1 in tract parahippocampal part of cingulum (left)
25576,Weighted-mean L1 in tract parahippocampal part of cingulum (right)
25588,Weighted-mean L1 in tract posterior thalamic radiation (left)
25589,Weighted-mean L1 in tract posterior thalamic radiation (right)
25590,Weighted-mean L1 in tract superior longitudinal fasciculus (left)
