max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
2,175,0.15928112113560897,6,10,0.6662677208493096,0.5150140424714751,0.5175668161591384,30,None
2,250,0.5151618147247998,10,1,0.6481025182587364,0.5192695914480948,0.5218379420871626,30,['cognitive']
2,75,0.6921971149426263,2,2,0.6076276748071427,0.5205386147962041,0.524234414435196,30,['demographic']
2,150,0.7313414791490205,6,9,0.787561666288525,0.5254248747779608,0.530105083576884,30,['lifestyle']
4,225,0.22717041889962092,9,7,0.7306842126967726,0.5682950199235066,0.5976226667979532,30,['mental']
2,250,0.3206181058219044,10,2,0.9742347353348477,0.5175268847317128,0.527311709515742,30,"['cognitive', 'demographic']"
2,125,0.3526479154062405,7,11,0.691836434199298,0.5221128918689689,0.5298380514970635,30,"['cognitive', 'lifestyle']"
2,225,0.19617872991000795,2,2,0.869733712511545,0.5701923538542784,0.5951124727914185,30,"['cognitive', 'mental']"
3,125,0.37751953528423743,9,7,0.8171975636015336,0.5260753892685113,0.5332267763576453,30,"['demographic', 'lifestyle']"
2,150,0.3684071396614424,6,3,0.8026900590034355,0.5700337259357646,0.5952803961512396,30,"['demographic', 'mental']"
3,150,0.1901089390795264,14,10,0.767849988486434,0.5690849589527758,0.5966772751245686,30,"['lifestyle', 'mental']"
4,25,0.2619745828215509,6,8,0.8783637151722825,0.526227015954808,0.5343201811862757,30,"['cognitive', 'demographic', 'lifestyle']"
3,100,0.24766752060818112,12,5,0.7519160650921669,0.5689275312454992,0.5948162821030711,30,"['cognitive', 'demographic', 'mental']"
3,75,0.6926302910596972,5,13,0.6198386917668125,0.5711385203795868,0.5950249620671544,30,"['cognitive', 'lifestyle', 'mental']"
9,225,0.5012672188605516,4,7,0.8122340381779148,0.5706642369056955,0.594546398446784,30,"['demographic', 'lifestyle', 'mental']"
7,100,0.18107189978993585,11,7,0.772813717681396,0.5668679687625022,0.5952522860205445,30,"['cognitive', 'demographic', 'lifestyle', 'mental']"
