max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
13,250,0.5032271233262271,4,10,0.9437194971107417,0.5188762217494527,0.5302885949495884,50,None
20,50,0.8674096664365876,2,8,0.8507711037673993,0.526108438935652,0.5283800450158789,50,['t1vols']
5,200,0.15464034012957506,4,13,0.8056573662438995,0.5223915456479512,0.5242507631116455,50,['subcorticalvol']
17,125,0.25754536581295195,6,11,0.7438420972762554,0.5188708260105448,0.5228262880399592,50,['fast']
19,75,0.23415568448093932,7,3,0.6658296944660557,0.5318163598803688,0.5349740233712577,50,['t2star']
25,225,0.6151635922890635,13,8,0.6673930244991005,0.5116324422655937,0.5149115098819104,50,['wdmri']
24,250,0.6711328884047768,3,14,0.7933759802163045,0.5160203342274844,0.5258347978910369,50,['taskfmri']
16,225,0.8138313475901919,14,1,0.7333717852599723,0.5175442450590448,0.5201723553171153,50,"['t1vols', 'subcorticalvol']"
7,200,0.9625900322307103,6,2,0.9514226954355072,0.5107382912465699,0.5178984367773564,50,"['t1vols', 'fast']"
18,200,0.46097397253544825,10,11,0.9827977311933194,0.519746477353313,0.5269085499337094,50,"['t1vols', 't2star']"
12,75,0.8658875253774623,10,2,0.9189251090398276,0.5078982055314032,0.5088436160700521,50,"['t1vols', 'wdmri']"
23,75,0.7892532668571046,4,4,0.9602136882510134,0.51470647180341,0.5248169302870533,50,"['t1vols', 'taskfmri']"
28,125,0.47921809158795137,3,1,0.9854533307018138,0.520185073844541,0.5252166003761601,50,"['subcorticalvol', 'fast']"
15,175,0.7402296045844876,6,3,0.6381594759995769,0.5221602996947554,0.5297474794191102,50,"['subcorticalvol', 't2star']"
19,50,0.18700887055872942,2,10,0.6596894119082664,0.5098745876113835,0.51028967409737,50,"['subcorticalvol', 'wdmri']"
18,50,0.2012583604573005,4,6,0.6994360605737979,0.5197391545647951,0.5317331113372183,50,"['subcorticalvol', 'taskfmri']"
8,75,0.7081348389556494,13,14,0.648154650009366,0.5212861899916752,0.5316652791909475,50,"['fast', 't2star']"
28,50,0.5747249672961696,8,7,0.8042109028198559,0.5087711590047175,0.5123970955508279,50,"['fast', 'wdmri']"
8,225,0.6105799724366275,5,4,0.9408579796742584,0.5155855918354761,0.523676502327876,50,"['fast', 'taskfmri']"
5,175,0.9922663912002014,6,2,0.6587754924266592,0.5157964110628064,0.5162712360867018,50,"['t2star', 'wdmri']"
15,125,0.3532583755649349,14,9,0.6949168892738631,0.5291951870008942,0.5386442820583973,50,"['t2star', 'taskfmri']"
8,75,0.8753166442767861,6,8,0.632739455110055,0.5153647519501743,0.5240449542133012,50,"['wdmri', 'taskfmri']"
5,175,0.746124626737158,6,7,0.9536408884721841,0.5092155366447754,0.5074330157555577,50,"['t1vols', 'subcorticalvol', 'fast']"
30,175,0.8305653113627218,12,3,0.8781846721112431,0.518423750501033,0.5260976474578362,50,"['t1vols', 'subcorticalvol', 't2star']"
18,175,0.9231119261040731,2,6,0.771336595728821,0.5048307279622607,0.5073058304812998,50,"['t1vols', 'subcorticalvol', 'wdmri']"
17,225,0.8783855378360761,3,10,0.6152614112262792,0.5201819905651651,0.5261068972959639,50,"['t1vols', 'subcorticalvol', 'taskfmri']"
4,75,0.7146756545794519,9,3,0.9249184231126925,0.5116193383282459,0.5122729935559461,50,"['t1vols', 'fast', 't2star']"
28,250,0.27901283485430095,14,2,0.8343437842632855,0.512062559738538,0.5071200628988992,50,"['t1vols', 'fast', 'wdmri']"
7,200,0.6695250801331641,7,12,0.7797537924306557,0.5107506243640736,0.5186569235038386,50,"['t1vols', 'fast', 'taskfmri']"
13,200,0.9635154282635238,11,14,0.8136368622575416,0.5028628249005642,0.5127863595720408,50,"['t1vols', 't2star', 'wdmri']"
26,175,0.7947826435993253,9,9,0.7315006318820332,0.5098730459716955,0.521511269386119,50,"['t1vols', 't2star', 'taskfmri']"
31,175,0.8932023559561776,12,2,0.88398098133225,0.5125053957389079,0.5136943853482564,50,"['t1vols', 'wdmri', 'taskfmri']"
17,75,0.34443439632091144,10,2,0.9733418068974486,0.5171214503746184,0.5232448432152438,50,"['subcorticalvol', 'fast', 't2star']"
9,225,0.3460152946255009,14,1,0.7422860177180328,0.5175531094872506,0.5144143310825394,50,"['subcorticalvol', 'fast', 'wdmri']"
29,150,0.7522572821091394,7,4,0.751157140946224,0.513380276261832,0.5284683038880152,50,"['subcorticalvol', 'fast', 'taskfmri']"
17,50,0.796205262212031,7,2,0.8369123679510352,0.5153720747386921,0.5246431104122344,50,"['subcorticalvol', 't2star', 'wdmri']"
5,150,0.3319076361330935,2,7,0.6786840509111427,0.5278709185089261,0.5289558474393364,50,"['subcorticalvol', 't2star', 'taskfmri']"
27,200,0.9190353417614567,8,7,0.728052350695074,0.5107552492831375,0.5182029106157309,50,"['subcorticalvol', 'wdmri', 'taskfmri']"
9,125,0.7587203886958878,9,9,0.940584777043144,0.5133795054419881,0.5147781580489008,50,"['fast', 't2star', 'wdmri']"
17,175,0.7799488144071344,3,1,0.7237938144060045,0.5221695495328831,0.5351000524157494,50,"['fast', 't2star', 'taskfmri']"
13,250,0.6671391032158878,5,1,0.6977376231139725,0.5118609903493355,0.5199912126537786,50,"['fast', 'wdmri', 'taskfmri']"
5,75,0.42638324662889804,3,2,0.6593514205268741,0.5149284679184781,0.5203365399438843,50,"['t2star', 'wdmri', 'taskfmri']"
13,50,0.18056895580830856,3,8,0.9436382050642724,0.519744164893781,0.5240858076650325,50,"['t1vols', 'subcorticalvol', 'fast', 't2star']"
27,125,0.6173067292764471,4,14,0.895579380785158,0.5076738969568033,0.5114266333672494,50,"['t1vols', 'subcorticalvol', 'fast', 'wdmri']"
12,25,0.7178784747654626,4,6,0.6176545111311098,0.5138084666851663,0.5148228655998519,50,"['t1vols', 'subcorticalvol', 'fast', 'taskfmri']"
