max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
3,125,0.3341760494751179,4,1,0.7889576238988469,0.5151776712701436,0.5098535268882418,100,None
6,50,0.8533608273402795,4,6,0.934451259406444,0.5188095104738434,0.5233619615155933,100,['t1vols']
4,175,0.9283459746799781,3,1,0.9608941660153716,0.5104336363199923,0.5172070972228153,100,['subcorticalvol']
8,25,0.1503535776001857,14,13,0.8579070660025354,0.514855014482549,0.5181248400350573,100,['fast']
22,50,0.793371043927542,4,11,0.8220673939241122,0.5191285666277266,0.5200755767907692,100,['t2star']
2,50,0.8763369804817251,9,2,0.61696074420757,0.5047328329786043,0.5104842244902612,100,['wdmri']
5,150,0.29166989883703875,14,11,0.6368508786646345,0.5151712701435452,0.5187017157750484,100,['taskfmri']
2,100,0.8143069050116595,12,1,0.859289648208711,0.5184896541791355,0.5238991301407101,100,"['t1vols', 'subcorticalvol']"
2,200,0.24459551488611264,3,14,0.8409922686468074,0.5156575557298084,0.5192603430441431,100,"['t1vols', 'fast']"
23,150,0.5392093260014976,2,10,0.6354836747319689,0.5186540831186288,0.5124996355869379,100,"['t1vols', 't2star']"
6,50,0.4400503971368016,9,12,0.6230122974296246,0.5142213029493191,0.5197099458151917,100,"['t1vols', 'wdmri']"
4,50,0.21597798270473384,2,12,0.9544163611109746,0.5131153082942598,0.5092204369561963,100,"['t1vols', 'taskfmri']"
6,50,0.2741597502580791,3,13,0.9139648880392042,0.5192877946518587,0.5231752060170428,100,"['subcorticalvol', 'fast']"
7,125,0.43156244133152744,7,1,0.6529774203022554,0.5165931203891885,0.5192709502207408,100,"['subcorticalvol', 't2star']"
21,125,0.25011318142087174,8,7,0.6872075816656754,0.5109047192305847,0.5159204662245587,100,"['subcorticalvol', 'wdmri']"
4,250,0.5698344192365271,14,9,0.8515867196165277,0.5143813311142762,0.5153354697127073,100,"['subcorticalvol', 'taskfmri']"
2,100,0.33733728699714793,11,10,0.6310513659468814,0.5203887884267631,0.518478578146315,100,"['fast', 't2star']"
11,150,0.19780151413106606,11,9,0.6692531906943658,0.521338355550577,0.529592897856976,100,"['fast', 'wdmri']"
4,225,0.34738419567391265,6,3,0.6593187251985,0.5173918609675303,0.5191381212802681,100,"['fast', 'taskfmri']"
5,25,0.8352548312732354,4,8,0.6144375878356031,0.5159682104050314,0.5170063306616048,100,"['t2star', 'wdmri']"
12,150,0.852467972434604,8,9,0.7952793258695035,0.5096458976779914,0.5079070548527792,100,"['t2star', 'taskfmri']"
4,225,0.3497471828320856,13,8,0.7380275650288095,0.5173802589255709,0.5100464336590497,100,"['wdmri', 'taskfmri']"
8,125,0.27233276165712295,14,1,0.7411025909779801,0.51975787738642,0.5231240131891531,100,"['t1vols', 'subcorticalvol', 'fast']"
5,250,0.7250461001584035,14,5,0.6404552068687696,0.5099505512970283,0.5197125556297656,100,"['t1vols', 'subcorticalvol', 't2star']"
3,125,0.48865541191434625,9,11,0.679134662482217,0.5146925858951176,0.5151453755734587,100,"['t1vols', 'subcorticalvol', 'wdmri']"
5,250,0.5121424430878978,14,2,0.7011703074826827,0.5227554049512714,0.5241795653380128,100,"['t1vols', 'subcorticalvol', 'taskfmri']"
2,100,0.3453549948642176,6,1,0.6988495388917546,0.5183442285842308,0.5221002684083018,100,"['t1vols', 'fast', 't2star']"
6,250,0.2215178786721585,8,3,0.7689269602548144,0.514540159067996,0.5232375037071,100,"['t1vols', 'fast', 'wdmri']"
4,225,0.4254287148531598,11,6,0.6518835674172445,0.5150200435276608,0.5156015994845434,100,"['t1vols', 'fast', 'taskfmri']"
2,150,0.15438810594021488,10,7,0.9781220439539511,0.5175518891324873,0.5136502208965263,100,"['t1vols', 't2star', 'wdmri']"
32,175,0.6895743202826592,12,3,0.6145750436178788,0.5142261037942678,0.5144921647802934,100,"['t1vols', 't2star', 'taskfmri']"
2,225,0.450844858493924,6,10,0.7493384605524831,0.5138994463025492,0.5143771210180527,100,"['t1vols', 'wdmri', 'taskfmri']"
