max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
12,175,0.7698583586517838,11,10,0.7996226690329715,0.5075901358639121,0.5071405047692945,200,None
7,75,0.9915552133818651,7,5,0.7264700627725826,0.5112223751380243,0.5092328194136377,200,['cognitive']
32,200,0.949391865848816,5,7,0.9718491931265696,0.4980976651890733,0.5076371368035869,200,['demographic']
2,25,0.40653811778741544,4,10,0.6990472526457646,0.5139086479220343,0.5116996234826583,200,['lifestyle']
3,250,0.25031689584504285,11,9,0.8700284380446863,0.5671914256909216,0.5931242998641337,200,['mental']
9,175,0.2271001733243161,3,13,0.8019317750572086,0.5101131799196659,0.5105406966291048,200,"['cognitive', 'demographic']"
5,75,0.2797356548117341,8,5,0.9511843351665893,0.5121669413816832,0.5088834153142179,200,"['cognitive', 'lifestyle']"
2,175,0.2330704984704413,5,6,0.9855406827704694,0.5686110755492966,0.593529640483476,200,"['cognitive', 'mental']"
3,250,0.562583307711087,12,14,0.820459161126531,0.5099467506281106,0.5176034000947505,200,"['demographic', 'lifestyle']"
2,200,0.18702556277734736,2,14,0.7890221924407229,0.5714585767095008,0.5945906165958028,200,"['demographic', 'mental']"
2,175,0.9785370786046019,9,7,0.607846216995631,0.5659232024836371,0.5903323343947726,200,"['lifestyle', 'mental']"
31,175,0.5723497918051856,11,3,0.9345250392837965,0.5146975867752724,0.5120361881541973,200,"['cognitive', 'demographic', 'lifestyle']"
5,250,0.4484986897568709,9,14,0.9180131837642903,0.563076701499464,0.5891173028501057,200,"['cognitive', 'demographic', 'mental']"
2,175,0.37117640230651017,4,13,0.8993961405335477,0.5679807646145721,0.5946291042798754,200,"['cognitive', 'lifestyle', 'mental']"
2,250,0.6757385047431339,3,8,0.7866398255753942,0.5641824961193169,0.5910514505925988,200,"['demographic', 'lifestyle', 'mental']"
3,50,0.6386702152440323,12,2,0.7914800229183077,0.5682920193954135,0.592168057734925,200,"['cognitive', 'demographic', 'lifestyle', 'mental']"
