max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
26,75,0.7939567114756116,8,11,0.9258608610200243,0.5148604154331162,0.5108538789299736,500,None
4,100,0.8578344924519954,10,8,0.9766732327542142,0.511065147465954,0.5166048764405544,500,['cognitive']
11,150,0.7692359897433422,7,8,0.9088162039659342,0.5123295700043208,0.5114340730795421,500,['demographic']
3,250,0.7103817882892279,9,7,0.916814006130859,0.5112193746099314,0.5128838286157832,500,['lifestyle']
3,200,0.24183601567418656,4,9,0.6342750070971941,0.5641868968938533,0.5938829982496642,500,['mental']
15,225,0.33130032509549445,3,2,0.6632191644201877,0.5131169085759093,0.5108232232185128,500,"['cognitive', 'demographic']"
11,225,0.5497648436144528,4,4,0.978185212559833,0.5105878634639696,0.5121048707859562,500,"['cognitive', 'lifestyle']"
2,200,0.6217876453114193,11,12,0.9611443004246814,0.5656085471042904,0.5898876953291947,500,"['cognitive', 'mental']"
8,250,0.3769934697222481,9,14,0.931760521820377,0.5192881947222712,0.5168209483503736,500,"['demographic', 'lifestyle']"
4,100,0.4120043241888186,11,12,0.9328999861206516,0.5643447246715422,0.5912514063916463,500,"['demographic', 'mental']"
4,250,0.4018185935134516,11,13,0.8964664031824299,0.5630785018163197,0.5945416016480595,500,"['lifestyle', 'mental']"
3,225,0.9281097008278443,6,3,0.8024291060818411,0.5162770647633983,0.5170130656016951,500,"['cognitive', 'demographic', 'lifestyle']"
2,25,0.5121996878699574,13,2,0.8063799830726333,0.5673520539614972,0.5927146512805217,500,"['cognitive', 'demographic', 'mental']"
3,175,0.5153533409393763,6,7,0.8905560918824222,0.5667151418649683,0.5932662231991516,500,"['cognitive', 'lifestyle', 'mental']"
2,200,0.26139010031755044,4,6,0.9754007258837522,0.5705112099729552,0.5948096832172678,500,"['demographic', 'lifestyle', 'mental']"
4,125,0.9147789094877047,13,10,0.8482632194282134,0.5668705692201828,0.5903935416274225,500,"['cognitive', 'demographic', 'lifestyle', 'mental']"
