max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
31,250,0.9508903680182049,13,7,0.7864659032947929,0.3146186440677966,0.564814648568419,100,None
21,250,0.44199736229940734,4,11,0.939665172176386,0.3204449152542373,0.5651228693861917,100,['cognitive']
4,250,0.7347847218954897,2,12,0.6681788784033926,0.36175847457627114,0.6067895360528583,100,['demographic']
21,225,0.5533239748938038,3,6,0.7306764618378156,0.3040254237288136,0.568917277123432,100,['lifestyle']
14,250,0.9655576966077742,11,1,0.8470693431682427,0.30879237288135597,0.5722104519774012,100,['mental']
3,175,0.6181622524146505,12,12,0.6558708442950592,0.3638771186440678,0.601555767020971,100,"['cognitive', 'demographic']"
4,200,0.9017322291102914,8,2,0.6089991206506804,0.31885593220338987,0.5672280474959303,100,"['cognitive', 'lifestyle']"
8,125,0.3733728516224203,7,10,0.7427516234328142,0.3072033898305085,0.5718573446327684,100,"['cognitive', 'mental']"
4,200,0.7515259883283287,4,2,0.6999684170677074,0.36281779661016944,0.6034694292827731,100,"['demographic', 'lifestyle']"
7,200,0.9874997154039039,8,14,0.66759674795852,0.361228813559322,0.6088528200708607,100,"['demographic', 'mental']"
11,175,0.8044504299397137,4,9,0.7049387466736864,0.3103813559322034,0.5804890237479652,100,"['lifestyle', 'mental']"
2,200,0.47457586650488626,7,2,0.9862171623839548,0.364406779661017,0.5977404122378627,100,"['cognitive', 'demographic', 'lifestyle']"
2,200,0.36755964042244726,3,8,0.629034158473014,0.3723516949152542,0.6027587259408217,100,"['cognitive', 'demographic', 'mental']"
6,200,0.7706022712369435,2,12,0.7166204215204798,0.305614406779661,0.583647539021354,100,"['cognitive', 'lifestyle', 'mental']"
27,50,0.7163072598033695,4,12,0.8161373695045532,0.34375,0.6053561596284592,100,"['demographic', 'lifestyle', 'mental']"
5,100,0.38829256856008526,9,8,0.9062820699058741,0.3638771186440678,0.6052215000478789,100,"['cognitive', 'demographic', 'lifestyle', 'mental']"
