max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
14,200,0.3206009072307622,3,12,0.6815509633940033,0.3034957627118644,0.5469557957483482,200,None
8,250,0.4955054896021317,8,9,0.6350382289145633,0.3077330508474576,0.5760183256726995,200,['t1vols']
5,250,0.2310761626811383,5,4,0.64624591459247,0.30508474576271183,0.5638645504165469,200,['subcorticalvol']
3,175,0.7554539014607847,10,13,0.7965349413793283,0.3130296610169492,0.5662839342143062,200,['fast']
20,75,0.24767194206538506,3,13,0.8367474399132832,0.30243644067796616,0.5591050823518146,200,['t2star']
2,200,0.6937358003905687,8,4,0.9513100011142837,0.3098516949152542,0.562468579431198,200,['wdmri']
4,150,0.5828412209078894,4,3,0.9484241168340549,0.3003177966101695,0.5780516853394618,200,['taskfmri']
3,175,0.32374060308218267,13,3,0.6976761589831306,0.3183262711864407,0.5651213731686298,200,"['t1vols', 'subcorticalvol']"
2,200,0.850859920321839,13,9,0.6225210449576891,0.3209745762711864,0.5700603873408024,200,"['t1vols', 'fast']"
2,200,0.6502074483070437,11,13,0.9851688281748355,0.3220338983050848,0.5708922843052763,200,"['t1vols', 't2star']"
13,200,0.18304326686269595,7,9,0.6133067572849129,0.3135593220338983,0.5741794742889974,200,"['t1vols', 'wdmri']"
3,125,0.271061506768119,14,9,0.9198328892684917,0.3400423728813559,0.5817189145839318,200,"['t1vols', 'taskfmri']"
13,200,0.9929594034856539,8,2,0.6021694732484634,0.3077330508474576,0.567066455999234,200,"['subcorticalvol', 'fast']"
5,100,0.5126695081146329,2,6,0.841078906216234,0.31991525423728817,0.5710269438858565,200,"['subcorticalvol', 't2star']"
31,50,0.48594492577166204,6,10,0.7653457176227688,0.3140889830508474,0.5654206166810304,200,"['subcorticalvol', 'wdmri']"
3,125,0.5876562418625916,4,2,0.9117309058955043,0.3172669491525424,0.5828949415876664,200,"['subcorticalvol', 'taskfmri']"
6,225,0.85942837323392,2,10,0.882724029528074,0.3209745762711864,0.5683487144498708,200,"['fast', 't2star']"
2,50,0.4166754328665979,8,12,0.7457849970117295,0.3119703389830508,0.5668943909796036,200,"['fast', 'wdmri']"
2,225,0.6878327679750569,3,8,0.7887567825467415,0.3236228813559322,0.5838959111366466,200,"['fast', 'taskfmri']"
18,175,0.9473854343289466,9,8,0.7928969800800185,0.30879237288135597,0.5663961505314564,200,"['t2star', 'wdmri']"
3,175,0.7404848754657272,3,13,0.6682774632403884,0.3034957627118644,0.5788611390405056,200,"['t2star', 'taskfmri']"
4,175,0.7584864242120092,12,9,0.8538336595548313,0.3103813559322034,0.5828695058891123,200,"['wdmri', 'taskfmri']"
19,200,0.45724192498844785,4,13,0.7907089564203746,0.3215042372881356,0.5694544192281912,200,"['t1vols', 'subcorticalvol', 'fast']"
2,225,0.1796234043854587,13,14,0.7277106391148767,0.3204449152542373,0.5758492530881931,200,"['t1vols', 'subcorticalvol', 't2star']"
6,150,0.5322622250821835,13,10,0.6193023302407179,0.3140889830508475,0.5638256487599348,200,"['t1vols', 'subcorticalvol', 'wdmri']"
2,175,0.49305988134988343,10,4,0.8090432420587049,0.32733050847457623,0.58278571770564,200,"['t1vols', 'subcorticalvol', 'taskfmri']"
4,250,0.7455893122729126,7,2,0.65527922242061,0.31991525423728817,0.5755410322704204,200,"['t1vols', 'fast', 't2star']"
3,200,0.5128689596983743,13,8,0.9111791274641153,0.3135593220338983,0.570771090682754,200,"['t1vols', 'fast', 'wdmri']"
2,50,0.5423824137025306,5,8,0.7698964513125842,0.3283898305084746,0.5812146892655367,200,"['t1vols', 'fast', 'taskfmri']"
24,225,0.9534136979140605,6,9,0.8477505125298215,0.3252118644067796,0.5726428588528201,200,"['t1vols', 't2star', 'wdmri']"
