max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
2,200,0.4673586592011718,13,1,0.9726665325371727,0.2891949152542373,0.552862862683137,500,None
2,175,0.8448384878418191,14,10,0.8001935663712545,0.3220338983050848,0.5689621636502921,500,['t1vols']
6,175,0.6108623610706703,6,13,0.8791810141289944,0.3029661016949153,0.5671292971368381,500,['subcorticalvol']
16,150,0.8250224973952424,11,11,0.6772551479133858,0.3135593220338983,0.5700469213827445,500,['fast']
2,200,0.6201723815084645,6,8,0.6030971188969647,0.30455508474576276,0.5634545868045581,500,['t2star']
2,175,0.9280404216959254,9,5,0.6450985717591649,0.305614406779661,0.5627827851192186,500,['wdmri']
2,250,0.646952711040495,2,14,0.7831245058610433,0.3003177966101695,0.5742228645982956,500,['taskfmri']
16,150,0.6531927908288362,5,5,0.705612046979702,0.3146186440677966,0.5728433520061285,500,"['t1vols', 'subcorticalvol']"
17,125,0.36199145057912213,13,6,0.7311882360266976,0.3188559322033898,0.5722777817676912,500,"['t1vols', 'fast']"
2,250,0.32143853976060377,14,3,0.604256699514053,0.3177966101694915,0.5761814133869577,500,"['t1vols', 't2star']"
3,225,0.2549844104056155,6,5,0.6194345489967298,0.30932203389830504,0.5750053863832232,500,"['t1vols', 'wdmri']"
4,225,0.4184097656310105,9,7,0.6134266087685284,0.32891949152542377,0.5856539667720004,500,"['t1vols', 'taskfmri']"
16,125,0.1724186011742472,7,1,0.6096232279042624,0.3167372881355932,0.5622501316671455,500,"['subcorticalvol', 'fast']"
3,250,0.17356856958359942,2,9,0.6056878026435346,0.3183262711864407,0.5724453581346356,500,"['subcorticalvol', 't2star']"
8,175,0.8056621159277928,7,6,0.6614184153854178,0.3109110169491526,0.5673791654696926,500,"['subcorticalvol', 'wdmri']"
5,250,0.8542001394265871,5,10,0.9460458140876828,0.319385593220339,0.5743290960451978,500,"['subcorticalvol', 'taskfmri']"
4,250,0.2795617936826911,11,13,0.9074295071370918,0.3146186440677966,0.5706573781480417,500,"['fast', 't2star']"
2,250,0.7743102809923638,8,12,0.7441639697575247,0.30879237288135597,0.5759031169204253,500,"['fast', 'wdmri']"
2,100,0.8698459941463682,10,1,0.8989864471883663,0.319385593220339,0.5820031959207125,500,"['fast', 'taskfmri']"
13,250,0.6232341034586304,10,10,0.9558616875019329,0.3119703389830509,0.5740971823230873,500,"['t2star', 'wdmri']"
2,200,0.24757525299293004,11,13,0.8890256049255425,0.3103813559322034,0.576232284784066,500,"['t2star', 'taskfmri']"
2,125,0.27058249489377684,8,6,0.7744882496171666,0.3241525423728814,0.583646042803792,500,"['wdmri', 'taskfmri']"
2,150,0.26728737495327204,5,11,0.8883461669826117,0.3183262711864407,0.5692958201666187,500,"['t1vols', 'subcorticalvol', 'fast']"
5,250,0.21254017741347386,8,14,0.7915847017994533,0.3156779661016949,0.5722224217178971,500,"['t1vols', 'subcorticalvol', 't2star']"
2,150,0.3495003830009411,2,6,0.8167079541292364,0.3119703389830509,0.5715760557311118,500,"['t1vols', 'subcorticalvol', 'wdmri']"
4,225,0.44665494043181986,10,9,0.9324436913001026,0.3241525423728814,0.5856779062529924,500,"['t1vols', 'subcorticalvol', 'taskfmri']"
3,250,0.5004572950375848,6,7,0.6207843587893384,0.3268008474576271,0.5772781408599061,500,"['t1vols', 'fast', 't2star']"
10,225,0.6580661415911448,9,9,0.9448701007493082,0.3125,0.5765165661208465,500,"['t1vols', 'fast', 'wdmri']"
3,175,0.7594056545526583,13,7,0.9444223040451434,0.3336864406779661,0.5837208536818922,500,"['t1vols', 'fast', 'taskfmri']"
3,200,0.9492582378612546,14,10,0.9785920986036081,0.3209745762711864,0.5770462271377956,500,"['t1vols', 't2star', 'wdmri']"
2,100,0.8428950554314498,14,9,0.8038295097071998,0.3257415254237288,0.5880494110887676,500,"['t1vols', 't2star', 'taskfmri']"
7,225,0.6024242957962985,3,11,0.9596460593738346,0.3246822033898305,0.5930138609594944,500,"['t1vols', 'wdmri', 'taskfmri']"
12,225,0.7532337704923372,14,4,0.7158209201532063,0.3045550847457627,0.5695441922819113,500,"['subcorticalvol', 'fast', 't2star']"
4,150,0.8655213690567318,14,11,0.766538618595638,0.3172669491525424,0.575322584506368,500,"['subcorticalvol', 'fast', 'wdmri']"
2,125,0.20195115027783458,9,10,0.7420223537629226,0.3236228813559322,0.5756831729388107,500,"['subcorticalvol', 'fast', 'taskfmri']"
24,200,0.3448031651994388,14,11,0.8176135368960279,0.3109110169491526,0.5743964258354879,500,"['subcorticalvol', 't2star', 'wdmri']"
10,250,0.2625192936356126,8,13,0.8168924531592161,0.3305084745762712,0.5847158383606244,500,"['subcorticalvol', 't2star', 'taskfmri']"
4,250,0.37477921175939294,9,10,0.9463056757123625,0.3146186440677966,0.5874524202815283,500,"['subcorticalvol', 'wdmri', 'taskfmri']"
4,175,0.438374432603177,9,12,0.6090714690399214,0.29819915254237284,0.5767754117590731,500,"['fast', 't2star', 'wdmri']"
3,100,0.9299830853406661,10,1,0.8347772143598442,0.3278601694915254,0.5833123862874653,500,"['fast', 't2star', 'taskfmri']"
5,225,0.3682349243778176,5,11,0.7192800904837611,0.3315677966101695,0.589152123431964,500,"['fast', 'wdmri', 'taskfmri']"
5,225,0.4695875263817223,14,9,0.7554570361075978,0.329978813559322,0.5840275782821028,500,"['t2star', 'wdmri', 'taskfmri']"
4,175,0.21844168849473738,6,2,0.7035879454498922,0.32733050847457623,0.5728957196207987,500,"['t1vols', 'subcorticalvol', 'fast', 't2star']"
9,250,0.2962127938576611,11,9,0.8928714569323029,0.3135593220338983,0.578125,500,"['t1vols', 'subcorticalvol', 'fast', 'wdmri']"
2,100,0.6173037431053624,5,7,0.7522069719020219,0.3236228813559322,0.5846111031312841,500,"['t1vols', 'subcorticalvol', 'fast', 'taskfmri']"
10,250,0.7058719562040844,8,5,0.6111919598271597,0.3146186440677966,0.578570872833477,500,"['t1vols', 'subcorticalvol', 't2star', 'wdmri']"
3,200,0.6541941414390505,3,13,0.9744491267826517,0.3225635593220339,0.5880135018672795,500,"['t1vols', 'subcorticalvol', 't2star', 'taskfmri']"
5,50,0.2920979068533147,7,12,0.7132658400462446,0.3331567796610169,0.58273335009097,500,"['t1vols', 'subcorticalvol', 'wdmri', 'taskfmri']"
3,100,0.5464334098727763,2,5,0.7300858604633262,0.30879237288135597,0.5779200181940056,500,"['t1vols', 'fast', 't2star', 'wdmri']"
2,125,0.9519079429879178,9,5,0.7012014394886814,0.32838983050847453,0.5868075505123049,500,"['t1vols', 'fast', 't2star', 'taskfmri']"
7,250,0.5601081742395697,10,13,0.7710274796156227,0.3204449152542373,0.5828096571866322,500,"['t1vols', 'fast', 'wdmri', 'taskfmri']"
2,250,0.4044578967942196,13,6,0.9856565520461303,0.32944915254237284,0.5937769319161161,500,"['t1vols', 't2star', 'wdmri', 'taskfmri']"
18,125,0.40766239197996545,5,14,0.6456145559972004,0.31779661016949157,0.5786980513262472,500,"['subcorticalvol', 'fast', 't2star', 'wdmri']"
8,225,0.7520666360847521,14,9,0.7890834285173223,0.3278601694915254,0.5801089844872164,500,"['subcorticalvol', 'fast', 't2star', 'taskfmri']"
7,225,0.49323655086426565,4,13,0.7355185706403106,0.3172669491525424,0.5796002705161353,500,"['subcorticalvol', 'fast', 'wdmri', 'taskfmri']"
4,75,0.2839970629839865,3,12,0.7482183427063467,0.3177966101694915,0.5883067605094322,500,"['subcorticalvol', 't2star', 'wdmri', 'taskfmri']"
3,100,0.5221344644183621,5,2,0.6753822835455623,0.3236228813559322,0.5806655774202816,500,"['fast', 't2star', 'wdmri', 'taskfmri']"
10,175,0.512085609279613,13,10,0.625392078117345,0.319385593220339,0.5766527219189889,500,"['t1vols', 'subcorticalvol', 'fast', 't2star', 'wdmri']"
9,200,0.5466893331346314,4,14,0.9063985681895557,0.3278601694915254,0.5766886311404769,500,"['t1vols', 'subcorticalvol', 'fast', 't2star', 'taskfmri']"
4,250,0.8775938352810743,4,14,0.7740292267709132,0.3204449152542373,0.5858948577994829,500,"['t1vols', 'subcorticalvol', 'fast', 'wdmri', 'taskfmri']"
