max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
3,250,0.4710499973680775,3,13,0.6359133437112658,0.2966101694915254,0.5599639112324045,500,None
9,250,0.5898138621093925,14,8,0.6372278481529895,0.29555084745762716,0.559733493727856,500,['cognitive']
6,225,0.1721341745466813,11,9,0.9018193891648707,0.3532838983050848,0.6000655343292157,500,['demographic']
4,125,0.9174103828900543,4,10,0.6220235302579572,0.3008474576271187,0.5599294982284784,500,['lifestyle']
3,250,0.28599913587655146,10,5,0.6364926482356679,0.305614406779661,0.5585754213348655,500,['mental']
2,200,0.5738674960294483,12,7,0.6411196109360274,0.3638771186440678,0.6021392918701522,500,"['cognitive', 'demographic']"
10,225,0.4679911310023832,3,14,0.8544349255430052,0.301906779661017,0.5584272957962271,500,"['cognitive', 'lifestyle']"
4,100,0.286117864767756,2,12,0.944679564884731,0.2976694915254237,0.5626032390117782,500,"['cognitive', 'mental']"
2,250,0.4663606056903713,3,13,0.8511962318013402,0.3638771186440678,0.6002615388298381,500,"['demographic', 'lifestyle']"
2,150,0.9815481201492793,12,4,0.6610523041364511,0.3649364406779661,0.6007852149765394,500,"['demographic', 'mental']"
2,200,0.5278627444586337,10,2,0.6876911285984283,0.30508474576271183,0.5745909341185483,500,"['lifestyle', 'mental']"
2,200,0.8356276012646895,14,1,0.6841988680304179,0.3638771186440678,0.5994461002585464,500,"['cognitive', 'demographic', 'lifestyle']"
2,225,0.23300397852066096,2,4,0.9759891456141006,0.3659957627118644,0.6040125562577804,500,"['cognitive', 'demographic', 'mental']"
12,250,0.2937729331624339,7,12,0.9108047055315227,0.3082627118644068,0.5716059800823518,500,"['cognitive', 'lifestyle', 'mental']"
27,200,0.7597210865672156,8,14,0.8253495288891678,0.3463983050847458,0.6029876472278082,500,"['demographic', 'lifestyle', 'mental']"
8,200,0.29506857324273883,8,6,0.9842726625669616,0.3453389830508474,0.6048294910466341,500,"['cognitive', 'demographic', 'lifestyle', 'mental']"
