max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
9,250,0.7707211436806903,11,3,0.7801101695352413,0.305614406779661,0.5578407785119219,500,None
2,125,0.28251809856751686,10,6,0.7933287493558067,0.3061440677966102,0.5593758977305372,500,['cognitive']
2,50,0.6552635368017525,12,11,0.6929936426681297,0.3638771186440678,0.6026270587953653,500,['demographic']
28,150,0.965158621769639,11,10,0.79706398491124,0.3119703389830508,0.5550099348846117,500,['lifestyle']
3,250,0.606235385350738,2,3,0.8284496431428219,0.3209745762711864,0.5754946495259983,500,['t1vols']
2,125,0.4589153743585106,3,11,0.7725341774594878,0.3098516949152542,0.5740463109259791,500,['taskfmri']
2,150,0.9469492340759734,13,8,0.9688657408950279,0.3638771186440678,0.5977613592837308,500,"['cognitive', 'demographic']"
12,100,0.883475027236587,7,3,0.9114727560324696,0.301906779661017,0.5502250311213253,500,"['cognitive', 'lifestyle']"
5,100,0.5206991844314776,12,1,0.8378713737703325,0.31832627118644063,0.5712992554821411,500,"['cognitive', 't1vols']"
17,225,0.7322404401516323,6,7,0.7292110908894163,0.3072033898305085,0.5662255817293881,500,"['cognitive', 'taskfmri']"
2,75,0.7096494153349514,5,13,0.6468326730588496,0.3596398305084746,0.6027662070286316,500,"['demographic', 'lifestyle']"
3,175,0.5920642824743416,3,14,0.8783026829640459,0.3601694915254237,0.5985902638130806,500,"['demographic', 't1vols']"
2,250,0.4655904900398117,8,3,0.8498056434366574,0.3628177966101695,0.612134025184334,500,"['demographic', 'taskfmri']"
3,250,0.7878775784805482,7,11,0.8358439128049016,0.3119703389830508,0.5734433352484919,500,"['lifestyle', 't1vols']"
8,250,0.6894492660011862,10,13,0.924979585934764,0.3130296610169492,0.574891673848511,500,"['lifestyle', 'taskfmri']"
6,225,0.6202644796760194,7,2,0.9422586244378303,0.32891949152542377,0.5915161471799292,500,"['t1vols', 'taskfmri']"
2,175,0.5445129364418806,12,1,0.8489489324689458,0.35858050847457623,0.6038509647610839,500,"['cognitive', 'demographic', 'lifestyle']"
4,200,0.5359495136602427,9,12,0.9119404785094567,0.3580508474576271,0.6020988939959782,500,"['cognitive', 'demographic', 't1vols']"
4,250,0.33204270536820646,6,9,0.8212321677486351,0.3548728813559322,0.6123464880781385,500,"['cognitive', 'demographic', 'taskfmri']"
28,200,0.33295885913261347,4,13,0.661551181998668,0.3050847457627119,0.5749724695968592,500,"['cognitive', 'lifestyle', 't1vols']"
2,250,0.5736328128685066,13,7,0.852846191498313,0.30667372881355937,0.5750203485588432,500,"['cognitive', 'lifestyle', 'taskfmri']"
2,225,0.7393847827982359,10,8,0.8038948477209793,0.326271186440678,0.5867626639854447,500,"['cognitive', 't1vols', 'taskfmri']"
3,175,0.3270061482750368,12,10,0.8611570326414197,0.3532838983050848,0.6042848678540649,500,"['demographic', 'lifestyle', 't1vols']"
2,150,0.37944078388657665,7,13,0.7549651175678429,0.36387711864406774,0.6067940247055443,500,"['demographic', 'lifestyle', 'taskfmri']"
3,250,0.9101977985217324,10,5,0.6775896656735518,0.3638771186440678,0.6116297998659389,500,"['demographic', 't1vols', 'taskfmri']"
14,150,0.26958502255803535,8,13,0.7478191464761573,0.3236228813559322,0.578566384180791,500,"['lifestyle', 't1vols', 'taskfmri']"
2,175,0.7707466180007382,4,5,0.7360573264090371,0.3675847457627119,0.5993727855980083,500,"['cognitive', 'demographic', 'lifestyle', 't1vols']"
4,250,0.7706456866923356,10,7,0.7733715464975414,0.3638771186440678,0.613045221679594,500,"['cognitive', 'demographic', 'lifestyle', 'taskfmri']"
2,50,0.8007788717363534,7,13,0.6540293237427708,0.368114406779661,0.6088258881547448,500,"['cognitive', 'demographic', 't1vols', 'taskfmri']"
2,250,0.649581011767382,9,12,0.862743458857435,0.3278601694915254,0.5874808484152064,500,"['cognitive', 'lifestyle', 't1vols', 'taskfmri']"
2,175,0.9987153248394476,11,11,0.9319379128306586,0.368114406779661,0.6086747701809825,500,"['demographic', 'lifestyle', 't1vols', 'taskfmri']"
3,250,0.7520662282294969,10,6,0.6260012537244398,0.3622881355932204,0.6117465048357753,500,"['cognitive', 'demographic', 'lifestyle', 't1vols', 'taskfmri']"
