max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
4,200,0.3592710590515701,2,11,0.6671976069114045,0.3040254237288136,0.5653787225892942,50,None
6,225,0.5220448308769857,5,10,0.8792052420464631,0.3008474576271186,0.5622112300105333,50,['cognitive']
3,150,0.40340096538212855,12,10,0.6082818572157218,0.3527542372881356,0.5987653212678349,50,['demographic']
22,150,0.7040348342386173,8,6,0.9016294214750706,0.3082627118644068,0.572165565450541,50,['lifestyle']
2,50,0.6439458738110564,5,6,0.9897087354545218,0.31620762711864403,0.5640859906157235,50,['t1vols']
12,175,0.3302934350382391,11,13,0.8257798471183079,0.3119703389830508,0.5759824164512113,50,['taskfmri']
2,250,0.9930338829244963,8,9,0.8367649308194877,0.3654661016949152,0.5940971224743848,50,"['cognitive', 'demographic']"
6,150,0.939830566418627,13,11,0.8010448914003773,0.3162076271186441,0.5733535621947716,50,"['cognitive', 'lifestyle']"
2,175,0.9188790708923708,3,8,0.9257013689649394,0.3098516949152542,0.5708429091257302,50,"['cognitive', 't1vols']"
7,150,0.257267498764875,6,13,0.806947923599902,0.3098516949152542,0.5781205113473139,50,"['cognitive', 'taskfmri']"
7,175,0.8501262314196054,9,12,0.7510848531303672,0.3411016949152542,0.5995059489610266,50,"['demographic', 'lifestyle']"
4,225,0.4576562912135749,12,12,0.8892903750787919,0.35169491525423724,0.6016739682083693,50,"['demographic', 't1vols']"
4,175,0.45981889597441317,9,6,0.6220221424295154,0.3548728813559322,0.6072638370200134,50,"['demographic', 'taskfmri']"
27,250,0.5654861866156905,8,10,0.6392426866389141,0.3236228813559322,0.5760677008522456,50,"['lifestyle', 't1vols']"
19,100,0.8284101837812411,6,4,0.8643619616504528,0.31832627118644063,0.5757624724695969,50,"['lifestyle', 'taskfmri']"
3,50,0.9414724205899698,10,10,0.6826352213394224,0.33580508474576265,0.5871127788949536,50,"['t1vols', 'taskfmri']"
2,175,0.6796013106736905,9,14,0.7361337744080058,0.36281779661016944,0.5980516254907593,50,"['cognitive', 'demographic', 'lifestyle']"
5,225,0.948312666360643,6,11,0.9788393562960982,0.35646186440677974,0.5994535813463564,50,"['cognitive', 'demographic', 't1vols']"
2,200,0.8305066421889414,12,3,0.9335831727794692,0.3665254237288135,0.6048130326534522,50,"['cognitive', 'demographic', 'taskfmri']"
4,250,0.9821647234743788,10,9,0.8278741429603371,0.3172669491525424,0.575334554246864,50,"['cognitive', 'lifestyle', 't1vols']"
22,250,0.5854141635218738,9,12,0.9842158169366246,0.3098516949152542,0.5839826917552428,50,"['cognitive', 'lifestyle', 'taskfmri']"
4,175,0.8680666105201877,8,4,0.6527242076411066,0.333156779661017,0.5913844800344729,50,"['cognitive', 't1vols', 'taskfmri']"
29,200,0.8561618786539744,10,11,0.9148315038524729,0.34957627118644063,0.6005518050368668,50,"['demographic', 'lifestyle', 't1vols']"
3,225,0.5607893722504131,3,2,0.8330396704342,0.3628177966101695,0.6086164176960643,50,"['demographic', 'lifestyle', 'taskfmri']"
2,75,0.6264776090763142,14,13,0.6535009217129125,0.3585805084745763,0.6055775998276357,50,"['demographic', 't1vols', 'taskfmri']"
5,150,0.31483500061580105,11,13,0.7433141909416454,0.3320974576271186,0.5886299435028248,50,"['lifestyle', 't1vols', 'taskfmri']"
2,50,0.5780075426541383,10,4,0.861527874913695,0.3665254237288135,0.5934582375754094,50,"['cognitive', 'demographic', 'lifestyle', 't1vols']"
2,75,0.7731454512218446,4,5,0.8840740366665842,0.3654661016949153,0.6049806090203965,50,"['cognitive', 'demographic', 'lifestyle', 'taskfmri']"
2,250,0.5784175371003357,8,9,0.9327293979127629,0.3601694915254237,0.6071321698745572,50,"['cognitive', 'demographic', 't1vols', 'taskfmri']"
31,250,0.8682729610048554,10,13,0.7431948511497066,0.3310381355932203,0.5884219692617064,50,"['cognitive', 'lifestyle', 't1vols', 'taskfmri']"
2,75,0.6155134267603125,14,13,0.9374932764615742,0.3665254237288135,0.6086298836541224,50,"['demographic', 'lifestyle', 't1vols', 'taskfmri']"
5,225,0.888745150195417,5,11,0.602134259816066,0.3453389830508474,0.6076289141051422,50,"['cognitive', 'demographic', 'lifestyle', 't1vols', 'taskfmri']"
