,fit_time,score_time,test_accuracy,test_f1_micro,test_roc_auc_ovo,IC number
0,2.441235303878784,0.05805659294128418,0.32666666666666666,0.32666666666666666,0.5600393760534512,200
1,2.3806066513061523,0.11140561103820801,0.32666666666666666,0.32666666666666666,0.6154534738002209,200
2,2.2361152172088623,0.05559206008911133,0.3933333333333333,0.3933333333333333,0.6151191854053649,200
3,2.2372734546661377,0.05596280097961426,0.32,0.32,0.5665791615153374,200
4,2.268681526184082,0.07498717308044434,0.3,0.3,0.5534639275421264,200
5,2.5798561573028564,0.05796027183532715,0.35333333333333333,0.35333333333333333,0.5639731453022238,200
6,2.179389238357544,0.06019949913024902,0.30666666666666664,0.30666666666666664,0.5537453958413006,200
7,2.233140230178833,0.05805659294128418,0.28,0.28,0.5522021047775335,200
8,2.3412082195281982,0.05790305137634277,0.31333333333333335,0.31333333333333335,0.5578229976251613,200
9,2.397534132003784,0.05801725387573242,0.34,0.34,0.6003133289762024,200
0,1.1646101474761963,0.06709742546081543,0.3333333333333333,0.3333333333333333,0.601736731490793,30
1,1.2157697677612305,0.06679773330688477,0.32666666666666666,0.32666666666666666,0.5869019146420508,30
2,1.203460454940796,0.05927777290344238,0.3333333333333333,0.3333333333333333,0.5733899608600139,30
3,1.1320972442626953,0.06819272041320801,0.29333333333333333,0.29333333333333333,0.5280387447415972,30
4,1.1654319763183594,0.06529879570007324,0.31333333333333335,0.31333333333333335,0.5889554065182948,30
5,1.1642296314239502,0.05926632881164551,0.3333333333333333,0.3333333333333333,0.5739256653898789,30
6,1.2551090717315674,0.0519866943359375,0.30666666666666664,0.30666666666666664,0.5375364134067436,30
7,1.1712512969970703,0.059493064880371094,0.32666666666666666,0.32666666666666666,0.5470073980171682,30
8,1.1190495491027832,0.05366992950439453,0.31333333333333335,0.31333333333333335,0.5723142519999973,30
9,1.166114330291748,0.07166504859924316,0.34,0.34,0.6124579462669978,30
0,3.306851387023926,0.059531211853027344,0.3333333333333333,0.3333333333333333,0.5780864388008583,50
1,3.308988094329834,0.06136679649353027,0.30666666666666664,0.30666666666666664,0.5789114102872805,50
2,3.2556614875793457,0.061577558517456055,0.34,0.34,0.6017206283171694,50
3,3.288804292678833,0.0552065372467041,0.29333333333333333,0.29333333333333333,0.5364771028046839,50
4,3.2830095291137695,0.06397366523742676,0.28,0.28,0.5969016903779575,50
5,3.2612264156341553,0.06350398063659668,0.3,0.3,0.5650659268986737,50
6,3.2643959522247314,0.05939674377441406,0.32,0.32,0.5454328701689636,50
7,3.237192153930664,0.05823707580566406,0.29333333333333333,0.29333333333333333,0.5570840221444774,50
8,3.1172518730163574,0.06302309036254883,0.3,0.3,0.5405459785232564,50
9,3.281120777130127,0.05120539665222168,0.36666666666666664,0.36666666666666664,0.6041629148801418,50
0,1.9264943599700928,0.06388711929321289,0.2733333333333333,0.2733333333333333,0.5332737094360213,100
1,1.8467953205108643,0.05768728256225586,0.34,0.34,0.5888677664712703,100
2,2.406362771987915,0.06443190574645996,0.38666666666666666,0.38666666666666666,0.6225602005764093,100
3,3.0724880695343018,0.2115628719329834,0.38,0.38,0.5714889432743367,100
4,2.5067298412323,0.06103920936584473,0.34,0.34,0.5695639395478431,100
5,2.8709909915924072,0.06331038475036621,0.35333333333333333,0.35333333333333333,0.6044445096440305,100
6,2.141468048095703,0.08075642585754395,0.28,0.28,0.5308298631415723,100
7,1.8823769092559814,0.059946298599243164,0.30666666666666664,0.30666666666666664,0.591980189555431,100
8,1.9262588024139404,0.06089353561401367,0.3,0.3,0.5615148398754374,100
9,1.852808952331543,0.06216764450073242,0.32,0.32,0.5797866304201934,100
0,2.6057000160217285,0.06271886825561523,0.2866666666666667,0.2866666666666667,0.5279421256998558,150
1,2.5446786880493164,0.05108499526977539,0.30666666666666664,0.30666666666666664,0.6010284447807844,150
2,2.578566312789917,0.05860495567321777,0.37333333333333335,0.37333333333333335,0.5974916061153615,150
3,2.589397430419922,0.055031538009643555,0.32,0.32,0.542049517511822,150
4,2.557827949523926,0.19350528717041016,0.28,0.28,0.5547913433385471,150
5,2.555163860321045,0.060621023178100586,0.34,0.34,0.5684482678381009,150
6,2.575420618057251,0.0471491813659668,0.31333333333333335,0.31333333333333335,0.5603406150029643,150
7,2.5529346466064453,0.0625612735748291,0.30666666666666664,0.30666666666666664,0.5872125541353287,150
8,2.5860660076141357,0.053243398666381836,0.2866666666666667,0.2866666666666667,0.5663312906752677,150
9,2.570592164993286,0.061791181564331055,0.35333333333333333,0.35333333333333333,0.593409114362547,150
